time,symbol,side,quantity,price,notional,commission,tax,exchange_fee,total_cost,slippage_bps,reason,realized_pnl,return
2024-06-11,228790,sell,1085,3245,3.520825E+06,528.12375,0,0,528.12375,0,universe_removed,438896.8762500002,0.14243424295774654
2024-06-11,471990,sell,240,14210,3.4104E+06,511.56,0,0,511.56,0,universe_removed,58288.439999999944,0.017391228070175423
2024-06-18,446770,buy,132,27170,3.58644E+06,537.966,0,0,537.966,0,entry,0,0
2024-06-18,390390,sell,11,25785,283635,42.54525,0,0,42.54525,0,rebalance,31252.454749999975,0.12385057759372266
2024-06-18,381180,buy,173,20840,3.60532E+06,540.798,0,0,540.798,0,entry,0,0
2024-07-02,390390,sell,142,24735,3.51237E+06,526.8555,0,0,526.8555,0,universe_removed,254363.14449999994,0.07808586530078464
2024-07-02,446770,sell,132,26650,3.5178E+06,527.67,0,0,527.67,0,universe_removed,-69167.66999999993,-0.019285885167464094
2024-07-02,381180,sell,173,20105,3.478165E+06,521.72475,0,0,521.72475,0,universe_removed,-127676.72475000005,-0.0354134237044146
2024-07-09,457480,buy,269,13040,3.50776E+06,526.164,0,0,526.164,0,entry,0,0
2024-07-09,122630,buy,157,22305,3.501885E+06,525.28275,0,0,525.28275,0,entry,0,0
2024-07-09,381170,buy,157,22310,3.50267E+06,525.4005,0,0,525.4005,0,entry,0,0
2024-07-16,381170,sell,157,22170,3.48069E+06,522.1035,0,0,522.1035,0,universe_removed,-22502.1035000002,-0.006424271627073119
2024-07-23,381170,buy,157,21315,3.346455E+06,501.96825,0,0,501.96825,0,entry,0,0
2024-07-23,466920,buy,12,12390,148680,22.302,0,0,22.302,0,entry,0,0
2024-07-23,122630,sell,157,20750,3.25775E+06,488.6625,0,0,488.6625,0,universe_removed,-244623.6625000001,-0.06985485317193457
2024-07-30,466920,buy,224,13580,3.04192E+06,456.288,0,0,456.288,0,rebalance,0,0
2024-07-30,457480,sell,269,11750,3.16075E+06,474.1125,0,0,474.1125,0,universe_removed,-347484.1124999998,-0.0990615414110429
2024-07-30,381170,sell,157,20150,3.16355E+06,474.5325,0,0,474.5325,0,universe_removed,-183379.5325000002,-0.05479814684494493
2024-08-06,466920,buy,26,12400,322400,48.36,0,0,48.36,0,rebalance,0,0
2024-08-06,465350,buy,98,31570,3.09386E+06,464.079,0,0,464.079,0,entry,0,0
2024-08-06,252670,buy,1378,2255,3.10739E+06,466.1085,0,0,466.1085,0,entry,0,0
2024-08-13,252670,buy,10,2115,21150,3.1725,0,0,3.1725,0,rebalance,0,0
2024-08-13,466920,sell,23,13015,299345,44.90175,0,0,44.90175,0,rebalance,-9093.0315209924,-0.029485194847708618
2024-08-20,252670,sell,1388,1972,2.737136E+06,410.5704,0,0,410.5704,0,universe_removed,-391814.5704000002,-0.12523879202439483
2024-08-20,465350,sell,98,30630,3.00174E+06,450.261,0,0,450.261,0,universe_removed,-92570.26099999994,-0.02992063668039276
2024-08-27,364970,buy,390,7675,2.99325E+06,448.9875,0,0,448.9875,0,entry,0,0
2024-08-27,143860,buy,78,38080,2.97024E+06,445.536,0,0,445.536,0,entry,0,0
2024-08-27,462900,buy,5,13895,69475,10.42125,0,0,10.42125,0,entry,0,0
2024-08-27,466920,sell,239,12370,2.95643E+06,443.4645,0,0,443.4645,0,universe_removed,-248620.33472900753,-0.07758216367776825
2024-09-03,462900,buy,210,14080,2.9568E+06,443.52,0,0,443.52,0,rebalance,0,0
2024-09-03,364970,sell,390,7770,3.0303E+06,454.545,0,0,454.545,0,universe_removed,36595.455000000075,0.012225993485342044
2024-09-10,364970,buy,387,7580,2.93346E+06,440.019,0,0,440.019,0,entry,0,0
2024-09-10,251340,buy,24,3980,95520,14.328,0,0,14.328,0,entry,0,0
2024-09-10,252670,buy,1,2310,2310,0.3465,0,0,0.3465,0,entry,0,0
2024-09-10,462900,sell,215,13505,2.903575E+06,435.53625,0,0,435.53625,0,universe_removed,-123135.53624999995,-0.04068881256660414
2024-09-10,143860,sell,78,37610,2.93358E+06,440.037,0,0,440.037,0,universe_removed,-37100.03700000001,-0.0124905856092437
2024-09-20,252670,buy,1346,2225,2.99485E+06,449.2275,0,0,449.2275,0,rebalance,0,0
2024-09-20,364970,sell,387,7920,3.06504E+06,459.756,0,0,459.756,0,universe_removed,131120.24399999995,0.044698153034300775
2024-09-20,251340,sell,24,3785,90840,13.626,0,0,13.626,0,universe_removed,-4693.626000000004,-0.049137625628140745
2024-09-24,364970,buy,369,8140,3.00366E+06,450.549,0,0,450.549,0,entry,0,0
2024-09-24,252710,buy,1273,2350,2.99155E+06,448.7325,0,0,448.7325,0,entry,0,0
2024-10-02,252670,sell,1347,2290,3.08463E+06,462.6945,0,0,462.6945,0,universe_removed,87007.30550000003,0.02902991682125747
2024-10-02,364970,sell,369,7555,2.787795E+06,418.16925,0,0,418.16925,0,universe_removed,-216283.1692499998,-0.0720065417690417
2024-10-02,252710,sell,1273,2430,3.09339E+06,464.0085,0,0,464.0085,0,universe_removed,101375.9915,0.03388744680851064
2024-10-08,371160,buy,364,8200,2.9848E+06,447.72,0,0,447.72,0,entry,0,0
2024-10-08,371460,buy,299,9980,2.98402E+06,447.603,0,0,447.603,0,entry,0,0
2024-10-08,487240,buy,322,9260,2.98172E+06,447.258,0,0,447.258,0,entry,0,0
2024-10-15,371160,buy,1,7050,7050,1.0575,0,0,1.0575,0,rebalance,0,0
2024-10-15,487240,sell,28,9430,264040,39.606,0,0,39.606,0,rebalance,4720.393999999971,0.018205777537796865
2024-10-22,371160,buy,26,6890,179140,26.871,0,0,26.871,0,rebalance,0,0
2024-10-29,487240,sell,294,8940,2.62836E+06,394.254,0,0,394.254,0,universe_removed,-94474.25400000019,-0.034702051835853204
2024-11-05,411060,buy,156,17305,2.69958E+06,404.937,0,0,404.937,0,entry,0,0
2024-11-05,251340,buy,5,3645,18225,2.73375,0,0,2.73375,0,entry,0,0
2024-11-05,371160,sell,391,6940,2.71354E+06,407.031,0,0,407.031,0,universe_removed,-457857.0310000001,-0.14438930144844356
2024-11-05,371460,sell,299,9120,2.72688E+06,409.032,0,0,409.032,0,universe_removed,-257549.03200000012,-0.08630941883767539
2024-11-06,465350,buy,101,26600,2.6866E+06,402.99,0,0,402.99,0,entry,0,0
2024-11-12,465350,sell,7,30000,210000,31.5,0,0,31.5,0,rebalance,23768.5,0.12765037593984963
2024-11-12,411060,sell,156,16700,2.6052E+06,390.78,0,0,390.78,0,universe_removed,-94770.7799999998,-0.03510574978329955
2024-11-12,251340,sell,5,3770,18850,2.8275,0,0,2.8275,0,universe_removed,622.1725000000006,0.03413840877914955
2024-11-19,457480,buy,185,15680,2.9008E+06,435.12,0,0,435.12,0,entry,0,0
2024-11-19,465350,sell,6,33380,200280,30.042,0,0,30.042,0,rebalance,40649.95800000001,0.2546989849624061
2024-11-19,252670,buy,1166,2475,2.88585E+06,432.8775,0,0,432.8775,0,entry,0,0
2024-11-26,457480,sell,14,15690,219660,32.949,0,0,32.949,0,rebalance,107.05100000000675,0.00048765943877554095
2024-11-26,252670,sell,1166,2370,2.76342E+06,414.513,0,0,414.513,0,universe_removed,-122844.5129999998,-0.04256787878787872
2024-12-03,466920,buy,213,13425,2.859525E+06,428.92875,0,0,428.92875,0,entry,0,0
2024-12-10,466920,sell,213,12710,2.70723E+06,406.0845,0,0,406.0845,0,universe_removed,-152701.08449999988,-0.053400856610800705
2024-12-17,457480,sell,16,20700,331200,49.68,0,0,49.68,0,rebalance,80270.32,0.31995503826530614
2024-12-17,465580,buy,158,18970,2.99726E+06,449.589,0,0,449.589,0,entry,0,0
2024-12-17,381170,buy,6,25615,153690,23.0535,0,0,23.0535,0,entry,0,0
2024-12-17,465350,sell,88,32545,2.86396E+06,429.594,0,0,429.594,0,universe_removed,522730.40599999996,0.2233127161654135
2024-12-24,465580,sell,158,18995,3.00121E+06,450.1815,0,0,450.1815,0,universe_removed,3499.818500000052,0.0011676726410121418
2024-12-24,381170,sell,6,25700,154200,23.13,0,0,23.13,0,universe_removed,486.86999999999534,0.0031678703884442405
